Incident ID,Incident Date,State,City Or County,Address,killed,injured,Operations,lat,lon,killed_injured
1327321,15-Feb-19,Illinois,Aurora,641 Archer Ave,6,6,N/A,41.76,-88.33,12
1324279,11-Feb-19,Texas,Livingston,3628 FM 3126,5,0,N/A,30.73,-95.06,5
1323448,9-Feb-19,Virginia,Petersburg,109 Perry St,0,4,N/A,37.22,-77.41,4
1321021,6-Feb-19,New York,Brooklyn,1778 Fulton St,1,3,N/A,40.68,-73.93,4
1321093,5-Feb-19,Texas,San Antonio,538 Hot Wells Blvd,2,2,N/A,29.37,-98.46,4
1319333,4-Feb-19,District of Columbia,Washington,2341 Pennsylvania Ave SE,0,5,N/A,38.87,-76.97,5
1319325,4-Feb-19,Louisiana,Baton Rouge,4000 block of Topeka St,0,4,N/A,30.49,-91.16,4
1318391,3-Feb-19,Illinois,Chicago,938 E 75th St,2,5,N/A,41.76,-87.6,7
1320286,3-Feb-19,California,Palm Springs,E Sunny Dunes Rd and El Placer Rd,4,0,N/A,33.81,-116.51,4
1318187,1-Feb-19,California,San Diego,6800 block of Springfield St,0,4,N/A,32.73,-117.05,4
1314289,28-Jan-19,Texas,Houston,7815 Harding St,2,5,N/A,29.71,-95.28,7
1314253,27-Jan-19,Alabama,Birmingham,Avenue O and Warrior Rd,0,5,N/A,33.49,-86.89,5
1312391,26-Jan-19,Georgia,Albany,300 block of W Roosevelt,0,4,N/A,31.58,-84.15,4
1312284,26-Jan-19,Louisiana,Gonzales,42350 Church Point Rd,5,0,N/A,30.24,-90.89,5
1312463,26-Jan-19,Indiana,Indianapolis,2957 N Sherman Dr,0,5,N/A,39.81,-86.1,5
1313291,26-Jan-19,New Jersey,Newark,612 Bergen St,1,3,N/A,40.72,-74.2,4
1310775,24-Jan-19,Pennsylvania,State College,1450 S Atherton St,4,1,N/A,40.78,-77.84,5
1310397,24-Jan-19,Georgia,Rockmart,319 Williamson St,4,1,N/A,34,-85.06,5
1309114,23-Jan-19,Florida,Sebring,1901 US 27 S,5,0,N/A,27.47,-81.46,5
1306920,20-Jan-19,Florida,Miami,26133 SW 139th Ave,0,4,N/A,25.6,-80.42,4
1305563,19-Jan-19,Pennsylvania,Lebanon,1140 Church St,0,4,N/A,40.34,-76.43,4
1305679,19-Jan-19,South Carolina,Gaffney,1435 Wilcox Ave,1,4,N/A,35.11,-81.6,5
1305516,19-Jan-19,Illinois,Chicago,4400 block of W Madison St,0,4,N/A,41.88,-87.74,4
1305538,19-Jan-19,Florida,Jacksonville,11445 Brian Lakes Drive,3,2,N/A,30.27,-81.86,5
1305294,19-Jan-19,Texas,Houston,7041 Sherman St,3,2,N/A,29.74,-95.3,5
1303486,17-Jan-19,Kentucky,Owensboro,940 Audubon Ave,3,1,N/A,37.77,-87.13,4
1302060,16-Jan-19,Florida,Jacksonville,Emerson St and Spring Park Rd,1,5,N/A,30.29,-81.63,6
1303303,16-Jan-19,California,Palmdale,Ranch Center Dr and 40th St W,3,1,N/A,34.58,-118.2,4
1301778,15-Jan-19,Arkansas,Little Rock,5420 Baseline Rd,1,4,N/A,34.67,-92.34,5
1299680,13-Jan-19,Arizona,Phoenix,2445 E Van Buren St,1,5,N/A,33.45,-112.03,6
1295294,6-Jan-19,New Mexico,Roswell,1300 block of W College Blvd,0,4,N/A,33.41,-104.54,4
1292684,4-Jan-19,Virginia,Hurt,3197 Shula Dr,3,2,N/A,37.06,-79.33,5
1293054,4-Jan-19,California,Torrance,22501 Hawthorne Blvd,3,4,N/A,33.82,-118.35,7
1292941,3-Jan-19,Arizona,Yuma,3800 block of E County 18½ St,1,3,N/A,32.58,-114.57,4
1291779,2-Jan-19,Arkansas,Jonesboro,3516 Galaxy St,1,3,N/A,35.82,-90.66,4
1289877,1-Jan-19,South Carolina,Columbia,1709 Decker Blvd,0,5,N/A,34.04,-80.94,5
1289618,1-Jan-19,Florida,Tallahassee,2020 W Pensacola St,0,5,N/A,30.44,-84.32,5
1289686,31-Dec-18,Ohio,Cleveland,4462 Denison Ave,3,2,N/A,41.45,-81.72,5
1288376,29-Dec-18,Ohio,Lima,904 S Main St,1,3,N/A,40.73,-84.11,4
1287286,28-Dec-18,Missouri,Saint Charles,150 Whetstone Dr,4,1,N/A,38.78,-90.56,5
1284586,24-Dec-18,Louisiana,Lutcher,2176 Main St,2,2,N/A,30.04,-90.7,4
1283229,23-Dec-18,Missouri,Springfield,1042 W College St,1,6,N/A,37.21,-93.31,7
1282704,22-Dec-18,Nevada,Las Vegas,3528 S Maryland Pkwy,0,4,N/A,36.13,-115.14,4
1279617,18-Dec-18,Maryland,Baltimore,3942 Park Heights Ave,0,5,N/A,39.33,-76.66,5
1277327,15-Dec-18,Florida,Miami,239 NW 16th St,0,5,N/A,25.79,-80.2,5
1277411,14-Dec-18,Colorado,Colorado Springs,700 block of Geiger Ct,1,3,N/A,38.84,-104.73,4
1276091,13-Dec-18,Pennsylvania,Philadelphia,4505 N Broad St,0,4,N/A,40.02,-75.15,4
1276298,11-Dec-18,Louisiana,Natchitoches,Caspari St and University Pkwy,1,3,N/A,31.75,-93.09,4
1272855,9-Dec-18,Wisconsin,Madison,3554 E Washington Ave,0,4,N/A,43.12,-89.33,4
1273161,8-Dec-18,California,Inglewood,801 S Inglewood Ave,0,5,N/A,33.95,-118.36,5
1272106,8-Dec-18,New York,Corona (Queens),89-25 130th St,0,5,N/A,40.7,-73.82,5
1267682,1-Dec-18,Florida,Miami,NW Fifth Ave and NW Eighth St,0,5,N/A,25.78,-80.2,5
1266937,26-Nov-18,Tennessee,Powell,Tammy Dr,0,4,N/A,36.05,-84.01,4
1262814,25-Nov-18,Alabama,Demopolis,Floyd St and Field St,2,2,N/A,32.51,-87.83,4
1263332,25-Nov-18,California,Oakland,1000 block of 24th St,0,4,N/A,37.82,-122.28,4
1263086,25-Nov-18,Texas,Houston,4500 block of Yale St,1,3,N/A,29.83,-95.4,4
1262013,23-Nov-18,Florida,Miami,5801 NW 27th Ave,2,5,N/A,25.83,-80.24,7
1261351,22-Nov-18,Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2,N/A,41.03,-85.13,5
1260525,21-Nov-18,Missouri,Saint Louis,4200 block of Shreve Ave,0,4,N/A,38.68,-90.24,4
1258777,19-Nov-18,Colorado,Denver,1200 21st Street,1,4,N/A,39.75,-104.99,5
1258804,19-Nov-18,Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0,N/A,39.95,-75.23,4
1258009,18-Nov-18,California,Los Angeles (Watts),95th St and Defiance Ave,1,4,N/A,33.95,-118.25,5
1257508,16-Nov-18,Arkansas,Little Rock,4405 W 14th St,3,1,N/A,34.74,-92.32,4
1256435,14-Nov-18,Louisiana,Baton Rouge,4896 Gus Young Ave,3,1,N/A,30.46,-91.14,4
1254225,13-Nov-18,New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1,N/A,35.49,-108.9,5
1254084,12-Nov-18,North Carolina,Dunn,4640 Woods Crossroads Rd,3,1,N/A,35.31,-78.52,4
1253361,11-Nov-18,Arizona,Globe,598 N Broad St,3,1,N/A,33.4,-110.79,4
1249561,7-Nov-18,California,Thousand Oaks,99 Rolling Oaks Dr,13,2,N/A,34.18,-118.87,15
1246727,3-Nov-18,New York,Watertown,136 Franklin St,0,5,N/A,43.97,-75.91,5
1247019,2-Nov-18,California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4,N/A,33.86,-118.18,4
1246489,2-Nov-18,Florida,Tallahassee,1950 Thomasville Rd,3,4,N/A,30.47,-84.27,7
1245703,1-Nov-18,Minnesota,Minneapolis,3400 block of Girard Ave N,0,5,N/A,45.02,-93.3,5
1245274,1-Nov-18,Missouri,Springfield,906 E Locust St,3,2,N/A,37.23,-93.28,5
1244754,31-Oct-18,Michigan,Detroit,19000 block of Langholm St,1,3,N/A,42.43,-83.01,4
1246059,30-Oct-18,California,Vallejo,Woodrow Ave and Reis Ave,2,3,N/A,38.09,-122.23,5
1244424,30-Oct-18,California,Los Angeles,65th Place and Vermont Avenue,0,5,N/A,33.98,-118.29,5
1243331,29-Oct-18,California,Riverside,3252 Mission Inn Ave,0,7,N/A,33.98,-117.37,7
1243010,28-Oct-18,Arkansas,El Dorado,2 Whites Quarters,2,2,N/A,33.2,-92.65,4
1242807,27-Oct-18,Tennessee,Memphis,4275 Lady Slipper Ln,0,5,N/A,35.03,-89.85,5
1241819,27-Oct-18,Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7,N/A,40.44,-79.92,18
1242443,26-Oct-18,New Jersey,Jersey City,77 Brinkerhoff St,1,3,N/A,40.72,-74.07,4
1240751,24-Oct-18,Illinois,Chicago,6200 block of S King Dr,0,5,N/A,41.78,-87.62,5
1238603,22-Oct-18,Illinois,Chicago,9231 S Cottage Grove Av,0,6,N/A,41.73,-87.6,6
1237930,21-Oct-18,Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5,N/A,30.33,-81.64,6
1238052,21-Oct-18,Washington,Lakewood,8722 S Tacoma Way,1,3,N/A,47.18,-122.49,4
1234087,16-Oct-18,Georgia,Atlanta,Broad St,0,4,N/A,33.76,-84.39,4
1233663,15-Oct-18,Tennessee,Columbia,1075 Carters Creek Pike,5,0,N/A,35.73,-87.01,5
1232554,14-Oct-18,Texas,Fort Worth,5310 E Rosedale St,0,4,N/A,32.73,-97.24,4
1233563,14-Oct-18,Nevada,Las Vegas,2815 W Lake Mead Blvd,3,1,N/A,36.2,-115.18,4
1233068,14-Oct-18,California,Palo Alto (East Palo Alto),2500 block of Pulgas Ave,2,2,N/A,37.47,-122.13,4
1232288,13-Oct-18,Texas,Taft,511 Wilburn St,4,1,N/A,27.97,-97.41,5
1232018,13-Oct-18,Missouri,Saint Louis,400 block of Midlothian Road,0,4,N/A,38.76,-90.2,4
1232044,12-Oct-18,South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6,N/A,34.92,-81.98,6
1231385,12-Oct-18,Nevada,Las Vegas,6500 block of W Charleston Blvd,0,4,N/A,36.16,-115.24,4
1229738,8-Oct-18,Alabama,Birmingham,Joppa Ave,0,4,N/A,33.55,-86.72,4
1226923,6-Oct-18,Oklahoma,Tulsa,9453 E 31st St,0,4,N/A,36.12,-95.87,4
1226853,6-Oct-18,Texas,Houston,6802 Cullen Blvd,1,3,N/A,29.69,-95.35,4
1226384,6-Oct-18,California,Oakland,Williams St and Telegraph Ave,0,6,N/A,37.81,-122.27,6
1225631,4-Oct-18,Georgia,Swainsboro,Lucky St,0,4,N/A,32.6,-82.34,4
1226179,4-Oct-18,New Mexico,Espanola (Española),1813 N Riverside Dr,1,3,N/A,36.02,-106.06,4
1223865,3-Oct-18,South Carolina,Florence,932 Ashton Dr,2,6,N/A,34.22,-79.85,8
1223755,3-Oct-18,Pennsylvania,Philadelphia,5101 Germantown Ave,1,4,N/A,40.03,-75.17,5
1221758,1-Oct-18,Illinois,Chicago,500 block of S Michigan Ave,2,2,N/A,41.88,-87.62,4
1221794,30-Sep-18,California,Compton,1300 E Palmer St,1,3,N/A,33.9,-118.21,4
1220912,29-Sep-18,Florida,Orlando,1700 block of 24th St,1,4,N/A,28.52,-81.4,5
1220331,28-Sep-18,Pennsylvania,Philadelphia,5100 block of Haverford Ave,2,2,N/A,39.96,-75.22,4
1217150,24-Sep-18,Tennessee,Memphis,1528 Ragan St,3,2,N/A,35.1,-90.01,5
1215987,23-Sep-18,California,Bakersfield,2600 block of Chandler Court,1,4,N/A,35.33,-119.04,5
1215954,23-Sep-18,California,Baldwin Park,3700 block of Loma Lane,0,4,N/A,34.08,-117.98,4
1215904,22-Sep-18,New York,Hempstead,Dolan St,0,4,N/A,40.72,-73.63,4
1215739,21-Sep-18,District of Columbia,Washington,1800 block of Benning Rd NE,0,4,N/A,38.9,-76.98,4
1213926,20-Sep-18,Maryland,Aberdeen,1501 Perryman Rd,4,3,N/A,39.47,-76.2,7
1214298,20-Sep-18,New York,Syracuse,1317 Midland Ave,0,5,N/A,43.03,-76.15,5
1213223,19-Sep-18,Wisconsin,Middleton,1850 Deming Way,1,4,N/A,43.1,-89.53,5
1213293,19-Sep-18,Pennsylvania,Masontown,1 E Church St,1,4,N/A,39.85,-79.9,5
1213836,19-Sep-18,Illinois,Chicago,W Cermak Rd and S State St,0,4,N/A,41.85,-87.63,4
1212984,18-Sep-18,Louisiana,New Orleans (Algiers),1100 block of Sumner St,0,4,N/A,29.94,-90.04,4
1212567,18-Sep-18,Tennessee,Memphis,4622 Faronia Rd,0,4,N/A,35.02,-90.02,4
1211659,17-Sep-18,Maryland,Silver Spring,123 Amberleigh Dr,4,1,N/A,39.09,-77,5
1210742,15-Sep-18,Wisconsin,Milwaukee,820 S 21st St,0,4,N/A,43.02,-87.94,4
1209006,12-Sep-18,California,Bakersfield,660 Manwell Blvd,6,0,N/A,35.35,-118.92,6
